FID,SMILES,frequency
91,[16*]c1ccc([SH](=O)=O)cc1,2208
92,[16*]c1ccc(Br)cc1,2113
93,[5*][NH-],2088
94,[14*]c1ncccn1,2019
95,[16*]c1cccc([N+](=O)[O-])c1,1986
96,[16*]c1ccc2c(c1)OCO2,1949
97,[14*]c1ccn(C)n1,1923
98,[8*]C[NH3+],1806
99,[15*]C1CCC1,1775
100,[5*]NC(N)=S,1760
101,[14*]c1ccncn1,1759
102,[16*]c1ccc([N+](=O)[O-])cc1,1746
103,[14*]c1nc(C)cs1,1743
104,[14*]c1cnccn1,1704
105,[16*]c1ccccc1O,1701
106,[15*]C1CCOCC1,1697
107,[16*]c1cccc(Br)c1,1691
108,[13*][C@@H]1CCCN1,1687
109,[14*]c1nc2ccccc2[nH]1,1653
110,[9*]n1cnnc1,1650
111,[13*][C@H]1CCCN1,1613
112,[9*]n1cnnn1,1604
113,[1*]C(=O)C(C)C,1597
114,[14*]c1ccon1,1593
115,[14*]c1nncn1C,1548
116,[14*]c1nc2ccccc2s1,1496
117,[9*]n1nc(C)cc1C,1492
118,[14*]c1cncs1,1489
119,[9*]n1ccnc1,1469
120,[8*]CCO,1456
121,[16*]c1ccc(F)cc1F,1455
122,[4*]CC(C)O,1450
123,[9*]n1cncn1,1436
124,[14*]c1ccno1,1424
125,[4*]CC=C,1389
126,[16*]c1ccccc1[N+](=O)[O-],1372
127,[8*]CCCC,1345
128,[4*]CC(F)(F)F,1341
129,[15*][C@@H]1CCNC1,1336
130,[16*]c1cccc([SH](=O)=O)c1,1277
131,[16*]c1ccccc1Br,1264
132,[16*]c1ccc(F)c(F)c1,1254
133,[15*][C@H]1CCNC1,1249
134,[14*]c1ccc(C)o1,1245
135,[4*][C@H](C)CC,1244
136,[4*][C@@H](C)CC,1242
137,[16*]c1ccc2c(c1)OCCO2,1231
138,[8*][C@H](C)O,1226
139,[16*]c1ccc(C)c(C)c1,1222
140,[16*]c1ccc(O)cc1,1216
141,[16*]c1ccc(C#N)cc1,1212
142,[3*]OC(F)F,1187
143,[15*][C@H]1CNC(=O)C1,1177
144,[9*]n1cnc2ccccc21,1172
145,[1*]C(=O)CC(C)C,1172
146,[14*]c1nc[nH]n1,1169
147,[16*]c1c(C)n[nH]c1C,1153
148,[15*][C@@H]1CNC(=O)C1,1152
149,[14*]c1cc(C)on1,1150
150,[16*]c1cccc2ccccc12,1144
151,[14*]c1nnn[nH]1,1125
152,[14*]c1cccnn1,1119
153,[14*]c1cccc[nH+]1,1070
154,[8*][C@@H](C)O,1067
155,[6*]C(=O)NNC=O,1063
156,[16*]c1cc(C)cc(C)c1,1054
157,[16*]c1c[nH]c2ccccc12,1053
158,[5*]N1CCCCCC1,1041
159,[16*]c1c(F)cccc1F,1024
160,[7*]=CC,1023
161,[14*]c1ncn[nH]1,1023
162,[16*]c1ccc2ccccc2c1,1021
163,[16*]c1c(C)noc1C,1012
164,[16*]c1ccc(Cl)cc1Cl,1009
165,[9*]n1cccc1,996
166,[9*]n1ccnn1,991
167,[16*]c1cccc(C#N)c1,982
168,[16*]c1ccc(C)cc1C,980
169,[15*][C@@H]1CCC[NH2+]C1,966
170,[14*]c1ccnn1C,964
171,[16*]c1cc(C)ccc1C,960
172,[14*]c1scnc1C,935
173,[4*]CCC(C)C,924
174,[15*][C@H]1CCC[NH2+]C1,908
175,[5*]N1CCCNCC1,894
176,[15*]C1CCCCCC1,877
177,[5*]N1CC[NH+](C)CC1,874
178,[9*]n1cc[nH+]c1,869
179,[15*][C@@H]1CCS(=O)(=O)C1,865
180,[13*][C@@H]1CCC[NH2+]1,853
181,[14*]c1ncc[nH]1,845
182,[4*]CC(=O)[O-],845
183,[16*]c1cccc(O)c1,844
184,[4*]C1CCCC1,839
185,[13*][C@H]1CNCCO1,837
186,[14*]c1ncco1,837
187,[4*]CC#C,830
188,[4*]CC(N)=O,820
189,[13*][C@@H]1CNCCO1,816
190,[16*]c1cccc(C)c1C,808
191,[14*]c1ccc(C)s1,802
192,[5*]N1CCc2ccccc21,798
193,[8*]CCCC=O,795
194,[16*]c1ccc(C)c(F)c1,793
195,[4*]CC#N,789
196,[16*]c1ccc(Cl)c(Cl)c1,788
197,[15*][C@H]1CCS(=O)(=O)C1,759
198,[1*]C(N)=O,751
199,[8*][C@@H](C)C=O,735
200,[14*]c1ccc[nH]1,732
201,[16*]c1c(C)cccc1C,726
202,[13*][C@H]1CCC[NH2+]1,718
203,[5*]N1CCc2ccccc2C1,709
204,[14*]c1c[nH]nn1,707
205,[8*]CC(=O)[O-],704
206,[16*]c1ccoc1,692
207,[13*][C@@H]1CCCCN1,676
208,[14*]c1cnco1,670
209,[8*]CC=C,668
210,[14*]c1cc2ccccc2o1,665
211,[5*]N1CCC(C)CC1,664
212,[16*]c1cc(F)ccc1F,662
213,[15*][C@@H]1CCOC1,659
214,[8*][C@H](C)C=O,653
215,[1*]C(=O)CCC=O,650
216,[7*]=C(C#N)C=O,645
217,[13*][C@H]1CCCCN1,642
218,[16*]c1cncnc1,635
219,[14*]c1ncncc1N,632
220,[14*]c1[nH]cc[nH+]1,632
221,[14*]c1cocn1,631
222,[14*]c1ccc2ccccc2n1,629
223,[14*]c1csc(C)n1,624
224,[1*]C(=O)CC#N,621
225,[9*]n1nccc1C,619
226,[12*]S(=O)(=O)c1ccc(C)cc1,612
227,[4*]CCCC=O,608
228,[15*][C@H]1CCOC1,607
229,[7*]=C1SC(=S)NC1=O,605
230,[14*]c1ccc(Cl)s1,604
231,[10*]N1C(=O)CSC1=S,600
232,[10*]N1C(=O)c2ccccc2C1=O,599
233,[9*]n1ccc(C)n1,591
234,[8*]CC#N,583
235,[15*][C@@H]1CC[NH2+]C1,580
236,[14*]c1cccc(C)n1,578
237,[9*]n1c(C)ccc1C,575
238,[5*]N1CCC[NH2+]CC1,569
239,[14*]c1sccc1C,568
240,[14*]c1nc(C)no1,556
241,[10*]N1CCCCC1=O,554
242,[14*]c1ncc(C)s1,554
243,[16*]c1cn[nH]c1C,554
244,[14*]c1nc2ccccc2o1,554
245,[1*]C(=O)C(C)(C)C,553
246,[8*]CC[NH3+],548
247,[7*]=Cc1ccco1,535
248,[16*]c1ccccc1C#N,534
249,[4*]CCC#N,534
250,[5*][NH+]1CCCNCC1,534
251,[16*]c1cc(C)[nH]c1C,532
252,[4*]C[C@H](C)O,531
253,[16*]c1cc(F)cc(F)c1,530
254,[10*]N1C(=O)CCC1=O,530
255,[4*]C1CCCCC1,530
256,[14*]c1cc(C)no1,527
257,[14*]c1ccc(=O)[nH]n1,526
258,[15*][C@H]1CC[NH2+]C1,523
259,[4*]CC(C)(C)O,522
260,[9*]n1ncccc1=O,517
261,[14*]c1nc2ccccc2c(=O)[nH]1,511
262,[3*]OC(F)(F)F,501
263,[14*]c1nncn1N,500
264,[8*]CC(N)=O,498
265,[16*]c1cc[nH+]cc1,498
266,[8*]C(C)(C)O,497
267,[14*]c1nccc(C)n1,496
268,[16*]c1c(C)cc(C)cc1C,495
269,[16*]c1c(C)nn(C)c1C,494
270,[12*]S(=O)(=O)CC,494
271,[4*]C[C@@H](C)O,489
272,[15*]C12CC3CC(CC(C3)C1)C2,484
273,[8*]C[SH](=O)=O,473
274,[15*]C1CC[NH+](C)CC1,471
275,[5*]N1CCNC(=O)C1,461
276,[10*]N1C(=O)CNC1=O,456
277,[14*]c1cc(C)n[nH]1,455
278,[12*]S(=O)(=O)c1cccs1,454
279,[5*]N1CCCc2ccccc21,454
280,[5*]N1CCC1,453
281,[16*]c1c(F)cccc1Cl,452
282,[4*]CCCO,451
283,[5*]NC(N)=[NH+]C,446
284,[9*]n1cnc2ccccc2c1=O,442
285,[9*]n1ccc2ccccc21,441
286,[6*]C(=O)NNC(C)=O,437
287,[16*]c1cc[nH]c1,436
288,[16*]c1ccc(C)c(Cl)c1,431
289,[13*][C@@H]1CCCC[NH2+]1,427
290,[14*]c1ncncc1[N+](=O)[O-],424
291,[14*]c1nccn1C,422
292,[14*]c1noc(C)n1,422
293,[5*][NH+]1CCC(C)CC1,416
294,[16*]c1ccnc2ccccc12,416
295,[9*]n1cc(C)cn1,415
296,[16*]c1ccc(F)cc1Cl,407
297,[13*]C1NC(=O)NC1=O,406
298,[7*]=C(C)C,404
299,[4*]CC(F)F,402
300,[5*][NH+]1CCCCCC1,400
301,[9*]n1ccccc1=O,394
302,[4*]CC[NH3+],390
303,[8*][C@H](C)CC,390
304,[6*]C(=O)CC,389
305,[16*]c1cc(Cl)ccc1Cl,387
306,[16*]c1ccoc1C,387
307,[4*][C@@H](C=O)C(C)C,387
308,[15*]C1CCC(C)CC1,384
309,[16*]c1cc(C)oc1C,383
310,[16*]c1ccc2ncsc2c1,383
311,[10*]N1CCNC1=O,383
312,[5*]N1C[C@H](C)O[C@H](C)C1,380
313,[16*]c1c(Cl)cccc1Cl,380
314,[8*]CCl,377
315,[14*]c1nc(C)c(C)s1,375
316,[14*]c1ncnn1C,372
317,[4*][C@@H](C)C(C)C,370
318,[16*]c1cccc(F)c1F,369
319,[16*]c1ccccc1[SH](=O)=O,367
320,[1*]C(=O)NNC=O,367
321,[14*]c1cc2ccccc2[nH]1,367
322,[14*]c1cccn1C,366
323,[16*]c1ccc2c(c1)CCC2,365
324,[12*]S(=O)(=O)c1ccc(Cl)cc1,364
325,[16*]c1ccc(S(N)(=O)=O)cc1,363
326,[14*]c1nc2ccccc2n1C,361
327,[16*]c1cc(Cl)cc(Cl)c1,361
328,[16*]c1ccc[nH+]c1,359
329,[16*]c1ccc(F)c(Cl)c1,359
330,[16*]c1ccc(S(C)(=O)=O)cc1,359
331,[8*]C(F)F,355
332,[8*][C@@H](C)CC,354
333,[16*]c1cn(C)nc1C,353
334,[14*]c1nnc2ccccn12,352
335,[12*]S(=O)(=O)c1ccc(F)cc1,351
336,[1*]C(=O)CCO,350
337,[16*]c1cccc(Cl)c1Cl,348
338,[5*]N1CCC[C@H](C)C1,347
339,[4*][C@H](C=O)C(C)C,346
340,[8*]CCC(C)C,344
341,[15*][C@H]1CC=CCC1,339
342,[4*]CC(C)(C)C,339
343,[5*]N1CCSC1,336
344,[15*]C1CNC1,335
345,[14*]c1ncoc1C,335
346,[13*][C@H]1CCCC[NH2+]1,334
347,[5*]N1CCC[C@@H](C)C1,331
348,[4*][C@H](C)C(C)C,330
349,[14*]c1ccnc(C)n1,330
350,[13*][C@@H]1CCCCO1,330
351,[10*]N1C(=O)CSC1=O,329
352,[8*]CCCO,329
353,[15*][C@@H]1CCNC1=O,329
354,[16*]c1cccc2cccnc12,327
355,[14*]c1ncc(C)o1,326
356,[6*]C(=O)C1=C([O-])C(=O)NC1,323
357,[10*]N1CC(C=O)=C([O-])C1=O,322
358,[14*]c1cc(C)ncn1,322
359,[14*]c1[nH+]ccn1C,321
360,[1*]C(=O)CCCC,321
361,[5*]N1C[C@@H](C)O[C@H](C)C1,319
362,[15*][C@@H]1CC=CCC1,318
363,[16*]c1ccc(N)cc1,317
364,[14*]c1cc(C)nn1C,316
365,[5*]N1CCSCC1,315
366,[14*]c1ccc(Cl)cn1,314
367,[9*]n1ncnn1,312
368,[5*]N1C[C@H](C)O[C@@H](C)C1,311
369,[14*]c1nn[nH]n1,308
370,[5*]N1CCCC[C@@H]1C,307
371,[8*]CCC(=O)[O-],307
372,[8*]CC(F)(F)F,306
373,[8*]CS(C)(=O)=O,306
374,[5*]N1CCN(C)CC1,302
375,[15*][C@@H]1C[C@@H]1C,302
376,[16*]c1ccc(F)c(C)c1,301
377,[4*]CC(=O)NNC=O,300
378,[16*]c1cccnc1C,299
379,[14*]c1ncccc1Cl,299
380,[16*]c1ccc(C)nc1,299
381,[13*][C@@H]1COCCN1,297
382,[13*][C@@]1(C)NC(=O)NC1=O,296
383,[16*]c1cnn(C)c1C,294
384,[15*][C@@H]1C=CCC1,292
385,[10*]N1C(=O)N[C@@H](C)C1=O,292
386,[14*]c1cnc[nH]1,289
387,[13*][C@]1(C)NC(=O)NC1=O,287
388,[4*]CCC(F)(F)F,287
389,[16*]c1ccccc1N,286
390,[4*]CCS(C)(=O)=O,285
391,[14*]c1cnc2ccccc2n1,285
392,[16*]c1cscc1C,285
393,[15*][C@@H]1CCC[C@H](C)C1,284
394,[5*]N1CCO[C@H](C)C1,281
395,[16*]c1c[nH]nc1C,280
396,[5*]N1CCCC[C@H]1C,279
397,[10*]N1C(=O)N[C@H](C)C1=O,279
398,[14*]c1nc(C)cc(C)n1,279
399,[13*][C@H]1CCCCO1,277
400,[16*]c1cccc(N)c1,273
401,[7*]=C1SC(=O)NC1=O,272
402,[13*][C@@H]1COc2ccccc2O1,271
403,[16*]c1cccc(Cl)c1C,271
404,[16*]c1ccc(F)cc1C,271
405,[15*][C@H]1CCNC1=O,270
406,[16*]c1ccc2c(c1)OCCCO2,270
407,[1*]C(=O)CCC(C)C,268
408,[16*]c1ccc(Cl)c(F)c1,268
409,[16*]c1ccc[nH]c1=O,266
410,[16*]c1ccc(Cl)nc1,266
411,[16*]c1cc(Cl)ccc1C,261
412,[15*][C@H]1C[C@@H]1C,260
413,[14*]c1ncccc1C,259
414,[13*][C@H]1COCCN1,258
415,[16*]c1cccnc1Cl,258
416,[6*]C(=O)CCC=O,258
417,[12*]S(=O)(=O)c1ccccc1C,255
418,[14*]c1sc(C)nc1C,255
419,[14*]c1nnc2n1CCCCC2,255
420,[14*]c1cc(=O)[nH]cn1,254
421,[5*][NH+]1CCC[C@H](C)C1,254
422,[15*][C@H]1CCC[C@H](C)C1,253
423,[4*][C@@H](C)CO,250
424,[15*]C1C(C)(C)C1(C)C,250
425,[16*]c1ccc2c(c1)CCO2,250
426,[4*]CC#CC,250
427,[5*]N1CCO[C@@H](C)C1,249
428,[8*]CS(C)=O,248
429,[14*]c1ccc(Br)s1,248
430,[8*]CC(=O)NNC=O,247
431,[14*]c1nc(C)n[nH]1,246
432,[15*]C1CCCNC1,244
433,[16*]c1ccc(Cl)cc1C,244
434,[1*]C(=O)[C@H](C)CC,242
435,[13*][C@H]1COc2ccccc2O1,242
436,[16*]c1cnoc1C,240
437,[8*][C@@H](C)[NH3+],239
438,[4*]C(CC)CC,239
439,[8*]C(C)(C)C=O,239
440,[14*]c1ncns1,239
441,[14*]c1ncsn1,239
442,[8*]CN,238
443,[14*]c1ccc(C#N)cn1,237
444,[14*]c1n[nH]c(=O)c2ccccc12,237
445,[15*][C@H]1C=CCC1,234
446,[8*]C[C@H](C)O,234
447,[8*]C[C@@H](C)O,234
448,[10*]N1CCOC1=O,234
449,[13*][C@@]1(C)CCCO1,233
450,[16*]c1ccc2cc[nH]c2c1,233
451,[14*]c1n[nH]c(=O)[nH]1,233
452,[14*]c1ccc(C)cn1,232
453,[5*]N1CCC(O)CC1,232
454,[16*]c1ccc(C)cc1Cl,230
455,[15*][C@H]1C[C@H]1C,230
456,[15*][C@@H]1C[C@H]1C,230
457,[16*]c1cc2ccccc2oc1=O,230
458,[5*]N1CCC[C@@H]1C,230
459,[16*]c1ccc2[nH]ccc2c1,229
460,[14*]c1nnc(C)s1,228
461,[8*]C(C)O,228
462,[14*]c1ccc(F)cn1,227
463,[16*]c1ccc(Br)cc1F,227
464,[8*][C@@H](O)CC,226
465,[4*]C(C)(C)CC,226
466,[15*][C@@H]1CCC[C@@H](C)C1,226
467,[9*]n1ccnc1C,225
468,[8*][C@H](C)[NH3+],225
469,[1*]C(=O)[C@@H](C)CC,223
470,[14*]c1nccc(=O)[nH]1,222
471,[4*][C@@H](C=O)CC,219
472,[14*]c1ncn(C)n1,219
473,[14*]c1cc2c(s1)CCCC2,219
474,[16*]c1ccc(Br)c(C)c1,219
475,[14*]c1ncnc(N)n1,219
476,[14*]c1nnc(C)o1,218
477,[4*][C@H](C)CO,216
478,[16*]c1ccc(C)cc1F,216
479,[9*]n1ncc2ccccc2c1=O,215
480,[12*]S(=O)(=O)c1ccccc1F,215
481,[4*][C@H](C=O)CC,214
482,[9*]n1c(=O)oc2ccccc21,214
483,[14*]c1cnc(C)s1,212
484,[4*]CCCCC,210
485,[16*]c1cc(C)ccc1O,209
486,[9*]n1cn[nH]c1=S,209
487,[8*]CC(C)(C)C,208
488,[14*]c1cc(C)[nH]n1,207
489,[14*]c1ccc(Br)o1,207
490,[9*]n1nncc1C,206
491,[16*]c1ccc(=O)[nH]c1,206
492,[8*][C@H](O)CC,205
493,[16*]c1ccc2c(c1)C(=O)NC2=O,205
494,[16*]c1ccc(Br)cc1C,205
495,[15*][C@H]1CCC[C@@H](C)C1,204
496,[14*]c1nn[nH]c1C,204
497,[16*]c1ccc(I)cc1,203
498,[16*]c1ccc2ccc(=O)oc2c1,202
499,[16*]c1coc2ccccc12,201
500,[14*]c1[nH]c(C)cc1C,201
501,[6*]C(=O)CC#N,201
502,[16*]c1ccc(C)c([N+](=O)[O-])c1,201
503,[15*]C1COC1,201
504,[13*][C@@H]1CN(C)CCO1,200
505,[16*]c1ccc2c(c1)COC2,199
506,[4*]CC(=C)C,199
507,[15*]C1C[NH2+]C1,198
508,[15*]C1CCNC1,198
509,[16*]c1ccc(C)c([SH](=O)=O)c1,197
510,[4*]C[C@@H](C)C=O,197
511,[5*][NH+]1CCc2ccccc2C1,196
512,[15*][C@@H]1CCCC1(C)C,196
513,[16*]c1ccc([S@](C)=O)cc1,196
514,[16*]c1ccc(Cl)c(C)c1,195
515,[15*][C@H]1CCCC[C@H]1C,195
516,[15*][C@@H]1CCCC[C@@H]1C,195
517,[16*]c1c(C)c[nH]c1C,194
518,[14*]c1c[nH]cn1,194
519,[7*]=Cc1cccs1,193
520,[16*]c1cccc([N+](=O)[O-])c1C,193
521,[13*][C@H]1CN(C)CCO1,193
522,[14*]c1ncccc1C#N,192
523,[16*]c1cc(F)cc(Br)c1,192
524,[12*]S(=O)(=O)c1ccccc1Cl,191
525,[16*]c1cncc(Cl)c1,191
526,[14*]c1n[nH]c(=S)[nH]1,190
527,[15*]C1CC(C)C1,190
528,[16*]c1cncc(C)c1,189
529,[15*][C@@H]1CCO[C@@H]1C,188
530,[5*]N1CCC[C@H]1C,188
531,[15*][C@@H]1CCCC[C@H]1C,187
532,[8*][C@@H](O)CC=O,187
533,[16*]c1ccc(C)cc1Br,187
534,[14*]c1n[nH]c2ccccc12,186
535,[4*]C1CCOCC1,186
536,[16*]c1cc(C)sc1C,186
537,[13*][C@]1(C)CCCO1,185
538,[14*]c1oc2ccccc2c1C,185
539,[4*]C1(C#N)CCCC1,185
540,[5*][NH+]1CCC[C@@H](C)C1,185
541,[16*]c1ccc2c(c1)CCN2,184
542,[14*]c1cn2ccccc2n1,184
543,[5*][NH+]1CCOCC1,184
544,[9*]n1nnc2ccccc21,184
545,[16*]c1cc(C)cc(F)c1,184
546,[16*]c1ccc(F)c(F)c1F,184
547,[5*]N1CCOc2ccccc21,182
548,[16*]c1csc2c1CCCC2,182
549,[9*]n1c(=O)[nH]c2ccccc21,182
550,[15*][C@H]1CCO[C@@H]1C,182
551,[16*]c1cc([SH](=O)=O)ccc1C,181
552,[14*]c1nnc2n1CCC2,181
553,[4*]C[C@H](C)C=O,179
554,[14*]c1csnn1,179
555,[4*]CCC(N)=O,179
556,[14*]c1nc(C)cc(=O)[nH]1,179
557,[13*][C@H]1CSCN1,178
558,[14*]c1cc(C#N)cs1,177
559,[14*]c1n[nH]c(C)n1,177
560,[12*]S(=O)(=O)c1cccnc1,175
561,[14*]c1n[nH]cc1C,175
562,[16*]c1cncc(Br)c1,174
563,[4*]C[C@@H](C)CC,173
564,[13*][C@H]1NC(=O)C([O-])=C1C=O,173
565,[14*]c1cn2ccsc2n1,172
566,[14*]c1ncsc1C,171
567,[16*]c1cc(F)ccc1C,171
568,[5*][NH+]1CCCC[C@@H]1C,171
569,[15*]C1C[C@@H](C)O[C@H](C)C1,170
570,[15*][C@H]1CCCC1(C)C,169
571,[15*][C@H]1CCCC[C@@H]1C,169
572,[16*]c1ccc2[nH]cnc2c1,169
573,[4*]C(C)(C)C=O,169
574,[15*]C1C[C@H](C)O[C@H](C)C1,169
575,[15*][C@@H]1CCC[NH+](C)C1,168
576,[9*]n1cc[nH+]c1C,168
577,[15*]C1CCCCCCC1,168
578,[5*]N1C[C@@H](C)C[C@@H](C)C1,167
579,[16*]c1ccc(Cl)cc1F,166
580,[14*]c1ncnc2ccccc12,166
581,[4*]C[C@H](C)CC,165
582,[6*]C(=O)NNC(=O)CC,165
583,[15*][C@@H]1CCCNC1=O,165
584,[16*]c1ccc([S@@](C)=O)cc1,165
585,[4*]C1(C#N)CCCCC1,163
586,[16*]c1c(C)[nH]c2ccccc12,163
587,[14*]c1nn2cnnc2s1,163
588,[4*]CCC(=O)[O-],163
589,[1*]C(=O)CO,163
590,[16*]c1cccc2ncccc12,163
591,[11*]SC(F)F,162
592,[16*]c1ccc2ocnc2c1,161
593,[7*]=Cc1cc(C)[nH]c1C,161
594,[15*][C@@H]1CCO[C@H]1C,160
595,[1*]C(=O)C1=C(C)NC(=O)NC1,160
596,[9*]n1c(C)cc(C)c1C,160
597,[10*]N1C(=O)NC(=O)C1=O,160
598,[5*]NC(N)=[NH+]CC,160
599,[14*]c1ccc2nncn2n1,158
600,[6*]C(=O)C=O,157
601,[15*][C@H]1CC(=O)NC1=O,157
602,[9*]n1cnnc1C,157
603,[15*][C@H]1CCC[NH+](C)C1,157
604,[14*]c1ncnc2sccc12,157
605,[15*]C1CCC(O)CC1,156
606,[5*][NH+]1CCNC(=O)C1,155
607,[5*]N1CC[C@@H](O)C1,155
608,[15*]C1C[C@H](C)O[C@@H](C)C1,155
609,[15*]C1(C)CCCC1,154
610,[16*]c1ccc2c(c1)CCCC2,154
611,[14*]c1ccnc(N)n1,154
612,[15*][C@H]1C[C@H]2CC[C@@H]1C2,154
613,[5*]N1CC[C@H](O)C1,154
614,[16*]c1cncnc1C,154
615,[8*]CCC(F)(F)F,153
616,[16*]c1conc1C,153
617,[1*]C(=O)CC(C)(C)C,153
618,[7*]=CCC,153
619,[7*]=Cc1ccc(F)cc1,153
620,[15*][C@@H]1C[C@H]2CC[C@@H]1C2,152
621,[14*]c1nc2c(s1)CCCC2,152
622,[14*]c1ncnc2[nH]ncc12,152
623,[16*]c1cnoc1,152
624,[5*]N1C[C@H](C)C[C@@H](C)C1,152
625,[8*]C[C@@H](C)C=O,151
626,[4*]CCC1=CCCCC1,151
627,[14*]c1nnc(C)[nH]1,151
628,[5*]N1c2ccccc2C[C@@H]1C,150
629,[14*]c1occc1C,149
630,[14*]c1nnnn1C,149
631,[13*][C@@H]1CSCN1,149
632,[13*][C@@H]1NC(=O)C([O-])=C1C=O,149
633,[16*]c1cc(Br)ccc1F,148
634,[15*][C@H]1CCO[C@H]1C,148
635,[8*][C@H](O)CC=O,148
636,[1*]C(=O)NNC(C)=O,148
637,[7*]=CC(=O)[O-],147
638,[5*][NH+]1CCCC[C@H]1C,147
639,[16*]c1csc(C)c1,147
640,[14*]c1nnc2scnn12,146
641,[16*]c1ccc2c(c1)CCC(=O)N2,146
642,[8*]CC(C)=O,146
643,[12*]S(=O)(=O)c1cccc(C)c1,146
644,[8*][C@@H](C)CC=O,146
645,[8*][C@H](C)CC=O,145
646,[4*][C@@H](C)C(=O)[O-],145
647,[16*]c1cc(C)ccc1F,144
648,[5*]N1CC(=O)Nc2ccccc21,144
649,[16*]c1ccc2c(c1)CNCC2,143
650,[15*]C1CCC(C)(C)CC1,143
651,[16*]c1ccncc1Cl,143
652,[3*]ONC=O,143
653,[4*]CC[SH](=O)=O,143
654,[14*]c1ccc([SH](=O)=O)s1,142
655,[13*][C@@H]1CCC[NH+]1C,142
656,[14*]c1cc(C)cs1,142
657,[7*]=Cc1cccc(Br)c1,142
658,[16*]c1cnc2ccccc2c1,141
659,[7*]=C(C)C=O,141
660,[8*]CCCCC,140
661,[16*]c1cc(=O)[nH]c2ccccc12,140
662,[6*]C(=O)NN,140
663,[5*]N1CCc2ncsc2C1,139
664,[16*]c1ccc2[nH]c(=O)[nH]c2c1,139
665,[14*]c1nc2c(s1)CNCC2,139
666,[12*]S(=O)(=O)CCC,139
667,[14*]c1ccnc2ccnn12,139
668,[16*]c1ccc2c(c1)CCCN2,138
669,[16*]c1ccc([N+](=O)[O-])cc1Cl,138
670,[14*]c1cnc(C)cn1,138
671,[5*]NC(=S)NNC=O,138
672,[9*]n1cn[nH]c1=O,138
673,[14*]c1nnn[n-]1,138
674,[4*][C@@H](C)CC=O,137
675,[4*][C@H](C)C(=O)[O-],137
676,[14*]c1nc2nc(C)cc(C)n2n1,137
677,[5*][NH+]1CCC(O)CC1,136
678,[6*]C(=O)NNC(N)=S,136
679,[16*]c1ccccc1I,136
